user_location,text
"Nairobi, Kenya","Your favorite President Uhuru since he got into power ,the only success he has achieved;

1.Brookside is officially… https://t.co/GCW66EuY1l"
Republic of Somaliland,Horn of Africa's Diplomacy in Action. The Head of States of the Republic of Somaliland and the Republic of Kenya;… https://t.co/fx9QgZT46v
Nairobi ,"President Uhuru Kenyatta joins dignitaries, among them several visiting Heads of State at the Presidential Palace,… https://t.co/1j8A59BplE"
"Nairobi, Kenya",Which Kenyans cannot see and appreciate President Uhuru Kenyatta's milestone achievements still!? The blind and dum… https://t.co/3tXSlzQsUU
"Nairobi, Kenya","At The Hague, the ICC judges addressed President Uhuru Kenyatta as Mr. Kenyatta and it was deemed okay. https://t.co/B5IheNsJJj"
"Nairobi, KENYA",President Uhuru Kenyatta arrived in Djibouti inauguration of President I... https://t.co/QYXLRdP8Vp https://t.co/WvRiOmwHCw
United states of Africa,@DonaldBKipkorir I LOVE MY PRESIDENT UHURU KENYATTA @StateHouseKenya
"Homa Bay, Kenya",@kennethndungu71 @WaweruNjuru @ahmednasirlaw @JunetMohamed Some slaves are offended that the president was referred… https://t.co/bq9MuUIFuA
Kenya 🇰🇪 ,"@JimnahMbaru @WehliyeMohamed Our President Uhuru Kenyatta EGH CiCdfk, should do self soul searching. It's a sworn c… https://t.co/xNIbuFI5uP"
Kenya | Nairobi,President Uhuru Kenyatta today arrived in Djibouti to attend the inauguration of the country’s President Ismail Oma… https://t.co/BaWROZzyH4
"Nairobi, Kenya",May Kenyans wake up and support President Uhuru Kenyatta BUILD DAMS to control flooding and such👇 AVOIDABLE losses… https://t.co/YE7BNVvhK3
Kenya,Let`s us not praise him so much above there is no job opportunity for youth all in all Uhuru Kenyatta has done i kn… https://t.co/0UUSc2PHAA
Kenya,"President Uhuru Kenyatta: All grade 1 pupils will be given laptops

The pupils with their laptops 👇👇👇👇… https://t.co/EwjUNfBQ2A"
Kenya,"The only legacy President Uhuru Kenyatta can leave is curfew and lockdown. Nothing more!
#UhuruKwaGround https://t.co/VEb1a2SmIQ"
,H.E. President Uhuru Kenyatta today arrived in Djibouti for the Inauguration of H.E. President Ismail Omar Guelleh.… https://t.co/qJqORU3QwN
"Hargeisa, Somaliland",President Muse Bihii and Uhuru Kenyatta join Other Foreign leaders in Djibouti for Presidential inauguration. https://t.co/m9FjYoGzXh
"Nairobi, Kenya",@moscakenya this week the Return to Play Guidelines after President Uhuru Kenyatta allowed sport to resume on 1 May… https://t.co/lCcCFixEN7
"Hargeisa, Somaliland","Somaliland President @musebiihi (middle) and Kenya President, Uhuru Kenyatta (right) accompany Djibouti President… https://t.co/Ra43c1Y9zE"
,@DonaldBKipkorir President Uhuru Kenyatta fixing roads which are the main arteries through which our economy pulses… https://t.co/UFGolwRnbu
Nairobi Kenya Bungoman,"Uhuru Kenyatta has decided to pay bloggers or hii ni voluntary work,A president who doesn't care when Wanjiku is su… https://t.co/5oOTt3jF4p"
Kuala Lampur,PHOTOS: #Djibouti’s president Ismail Omar Guelleh has been sworn in for his fifth term in office today in a ceremon… https://t.co/1KqhyuELJS
"Nairobi, Kenya",President Uhuru Kenyatta has confirmed the appointment of Justice William Ouko as a Judge of the Supreme Court of K… https://t.co/9N813P3WcJ
"Nairobi, Kenya","President Uhuru Kenyatta sent a message of condolence to the family, relatives and friends of Public Service Commis… https://t.co/NtcjeGqmiF"
"Nairobi, Kenya",President @musebiihi of the Republic of #Somaliland and President Uhuru Kenyatta of #Kenya joined with other Africa… https://t.co/RWC7yF59cz
"Kakamega, Kenya","@DonaldBKipkorir @DonaldBKipkorir 
1.President Uhuru Kenyatta should put together the best legal brains in his camp… https://t.co/ETYjCvMoJc"
,My president @musebiihi  with Uhuru Kenyatta At @IsmailOguelleh  swearing ceremony in Djabouti https://t.co/AoFV0ZyC7Y
,Djibouti is a minute country with a size of the former Western Province but a certain tyrant called Guelleh has ema… https://t.co/qhKb3tenMB
"#Eastleigh, Nairobi ",The president of Somaliland @musebiihi join president Uhuru Kenyatta at the inauguration of Djibouti President… https://t.co/6dxLR6rhkL
"Nyamira, Kenya",Some of The High Court Judges who made the ruling on BBI Bill are the ones President Uhuru Kenyatta refused to appo… https://t.co/2MOlqa15hj
Southern Africa ,"President Uhuru Kenyatta has arrived in Djibouti, the capital city of the Republic of Djibouti.

President Kenyatta… https://t.co/uVWUNXdBiD"
"Nairobi, Kenya","President Uhuru Kenyatta is FAMED and will be REMEMBERED for;
☑️Most kms of roads
☑️SGR and revamping Railways
☑️Ne… https://t.co/JJLi7jtaWU"
"Nairobi, Kenya","President Uhuru Kenyatta has arrived in Djibouti, the capital city of the Republic of Djibouti, to attend the inaug… https://t.co/H77LI521q7"
"Nairobi, Kenya","Lawyer Kamotho Waiganjo, the husband of Kirinyaga Governor Anne Waiguru, has warned President Uhuru Kenyatta agains… https://t.co/QURYSpDmz5"
"Nairobi, Kenya",President Uhuru Kenyatta arrived in Djibouti earlier today for the inauguration of President Ismail Omar Gulleh. https://t.co/iuULygAIEA
Nairobi Kenya,Several African leaders are currently in Djibouti to attend and witness  the inauguration of the country’s Presiden… https://t.co/wXOYuw9iVY
,@Ismael_Shirwac The true statesmen in the HOF matching shoulder to shoulder in between H.E Ismail Omer Geel Preside… https://t.co/TOPfi2XVLE
"Nairobi, Kenya","President uhuru kenyatta should do the honorable thing, dissolve parliament and let fellows look for fresh mandate!"
Kenya _Busia/Kitale/Nakuru ,@MauriceAmimo1 @steveogollaw Gazzettements alienated him from being Uhuru Kenyatta the person to Uhuru Kenyatta the president
Mountain Mall,President Uhuru Kenyatta has landed in Djibouti ahead of his counterpart President Ismail  Omar Guelleh`s Inaugurat… https://t.co/w087DftBnf
JSL| UAE| Kenya| U.K|Oman,H.E President @musebiihi joined H.E President Uhuru Kenyatta Of #Kenya at the inauguration of H.E President… https://t.co/9COG9ATtKE
,@StateHouseKenya President Uhuru Kenyatta uniting East African countries. Let us embrace peace and live as brothers and sisters.
,"@makaumutua Hi professor, help me understand, *initiators, town hall meeting verses public participation, Uhuru Ken… https://t.co/m0BvQkU696"
 Republic of Somaliland,"HORN OF AFRICA

 president of the Republic of #somaliland, H. E @musebiihi , president of the Republic of #djabouti… https://t.co/AyvraiAtWx"
,"Activist wants  President Uhuru Kenyatta impeached
🙄🤔"
"Nairobi, Kenya","@gpdkaluma There's Kenyatta the person and Kenyatta the office holder.
The judges were clear that he could be prose… https://t.co/Kng2QVtJg8"
"Nairobi, Kenya","They're absolutely in order! Its Mr. Uhuru Kenyatta who had been sued and NOT the President!

After all that's so m… https://t.co/2gt8WVS8Kf"
"Obanga, Kijebi",What if President Uhuru Kenyatta terms the court verdict on #BBIJudgement as okay and people should respect the rul… https://t.co/6gAnH0cNjv
Nairobi Kenya,"@StateHouseKenya President Uhuru Kenyatta is overworking, Uniting Africa since 1964 https://t.co/mGjanagI4w"
kejani,"The president uhuru Kenyatta means business.
It's time for work not politics

#UhuruKwaGround https://t.co/3CGYKBJaRV"
,"@StateHouseKenya I may not agree with Mr. Uhuru Kenyatta,but I love my president ,good work"
"Nairobi, Kenya","Lawyer Charles Kanjama had stated that President Uhuru Kenyatta can now be impeached, unless the ruling on the… https://t.co/ZpQjTjpf34"
Nakuru,This pandemic did not stop President Uhuru Kenyatta from working. #UhuruKwaGround https://t.co/Gd5xtODyAw
,Uhuru Kenyatta attends the inauguration of President Ismail Omar Guelleh Read more: https://t.co/PCFqEknVgh https://t.co/1Z6VDBeDc1
"Nairobi, Kenya","UPDATE: Laikipia residents condemn High Court for disrespecting President Uhuru Kenyatta, usurping the power of the… https://t.co/zFOgN79AAw"
"Nairobi, Kenya","President Uhuru Kenyatta joins dignitaries, among them several visiting Heads of State and Djiboutians from all wal… https://t.co/ROAwisfDzL"
,"NMS, Kazi Mtaani, SGR, Express way,  Mau Mau Road, Kisumu Port,  Kenol Marwa road, Redhill link road,  Nairobi-Nany… https://t.co/hNg4q8yihV"
Earth,Course. In 2020 Shot By The Presidential Guards While Trying To Enter State House To Attack President Uhuru Kenyatt… https://t.co/AlUQ6si7Yr
"Nairobi, Kenya",Proponents of BBI have defended President Uhuru Kenyatta against the court ruling that declared the process unconst… https://t.co/PK0E3JtOw0
,It was on a Saturday in 2017 when the President said 'we will revisit..' the Judiciary after nullification of their… https://t.co/pzrCsIszz3
Kenya | Nairobi,"President Uhuru Kenyatta on Saturday morning, May 15, arrived in Djibouti to attend the inauguration of the country… https://t.co/v2Xaz6dkIm"
Nairobi,"President Uhuru Kenyatta and President @musebiihi of the Republic of #Somaliland, pictured chatting up on the sidel… https://t.co/AwcQ0Nx5YY"
Somaliland ,"President of republic of Somaliland  H.E  #musebiihi and President of republic of Kenya  H.E #uhurukenyatta.

Presi… https://t.co/yBfiNM6DLf"
Nairobi,President Uhuru Kenyatta was on Saturday among several African leaders at the inauguration of Djibouti🇩🇯 President… https://t.co/TL21iL3jAm
"London, England",President #Kenyatta and #RailaOdinga have to rework their strategy after the High Court threw out their constitutio… https://t.co/HfuKzLTZWV
"Webuye 107.9, Kapenguria 102.2","JAMES ORENGO, Saturday, seemed to be hitting back at ODM Chairman John Mbadi, Suna MP Junet Mohamed and Ugunja MP O… https://t.co/uNj96SmdDv"
,Atii baba Raila Odinga was calling Diego Simeone to congratulate him in advance for winning La Liga😆 @_bm898 https://t.co/3IYJTLioYz
"Nairobi, Kenya","Forget DP Ruto And Raila Odinga, Meet 27 Year Old Who Wants To Take Over From Uhuru Kenyatta in 2022 https://t.co/exVHJLzXOq"
"Nairobi, Kenya",@IkeOjuok @RailaOdinga @HassanAliJoho @Winnie_Odinga Are they the ones managing Raila Odinga social media pages? @leemakwiny
"Gem Rae, Nyakach, Kenya.",@MigunaMiguna @RailaOdinga This bald headed man (Miguna) should remember that he was once an employee of  Raila Odi… https://t.co/7YAcVotIud
OKIJA SHRINE ,@RailaOdinga @HassanAliJoho This is how @Winnie_Odinga and Raila Junior messed your 2017 presidential campaigns. Th… https://t.co/GNrViGjOHs
Nairobi,"@Wakabando @SpeakerJBMuturi We are more confused, Raila Odinga was coronated recently,they're fading away the Kikuy… https://t.co/SSUYH3TVTA"
Kenya,"James Orengo accuses politicians of abandoning Raila Odinga

The lawmaker, while reiterating his support for ODM le… https://t.co/GAEUY7flsA"
"Nairobi, Kenya","Siaya Senator James Orengo accuses politicians of abandoning Raila Odinga, the Senator expressed confidence that an… https://t.co/6wQ5zuY8lr"
,"@WilliamsRuto Raila Odinga is the 5th President, wewe tulia 2032.
Respect your seniors DP Ruto!!! https://t.co/iJTyQAjeCE"
"Nairobi, Kenya","Raila Odinga &amp; BBI secretariat want High Court BBI judgment suspended
Raila &amp; Secretariat want IEBC to prepare for… https://t.co/7u6M5EDaSW"
Nairobi,"@RobertAlai First things first, Muturi or Raila Odinga 🤔 https://t.co/Lov1RyxZTQ"
,"RAILA ODINGA doesn't need votes from the DEEP STATE.....He only needs an ASSURANCE from them that this time round,v… https://t.co/pktZrwWm3n"
"Nairobi,Kenya","A first year student of political science will tell you, the mountain united to save their own who to them, had bee… https://t.co/EArJQuFk3Q"
"Nairobi,Kenya","2013, the mountain voted to save their own from the ICC, and 2, to humiliate Raila Odinga; 2017, they voted to reta… https://t.co/aj6kEzDoif"
,@Disembe BBi can only be compared with the two by people who worship His Majesty Raila Odinga. A popular initiation… https://t.co/S8XdIzGTBo
Nairobi,@Belive_Kinuthia He's to to be deputized by Raila Odinga
Kenya,"James Orengo accuses politicians of abandoning Raila Odinga

Siaya Senator James Orengo has expressed confidence th… https://t.co/kxEZksTbza"
Turkana county. ,@lokwamoe @TheODMparty @EloiloiJairus @eelokaale @Thirdwaykenya @ahmednasirlaw Mt. Kenya elders are brokers and con… https://t.co/Yiz0YaFxdr
Kenya,"Uhuru chronicles.
1.Ruto was betrayed.

2.Raila played and betrayed.

3.Handshake/BBI dead.

4.Ruto the 5th Preside… https://t.co/i5y4qjpc6S"
"Nairobi, Kenya",Arsenal is home for Kenya political losers  like Raila  Odinga  and Shahbal. They are followed to Arsenal by expens… https://t.co/8xuYkpwNzd
,The ODM Trading Division (OTD) is behind that statement by Joho. At closing bell we could not ascertain how much ha… https://t.co/IhT7ZUut89
Nairobi,"Raila Odinga will do this and the very people will call it witchcraft (uganga).

Leading Mt. Kenya need inner chari… https://t.co/fRYSSnLDhL"
"Usan, Scotland","Raila Odinga is desperate politically infact he's enjoying the song of the late Philip Lucky Dube Born to suffer....🤣🤣
#JBMuturiCoronation"
"Nairobi, Kenya",Soon@Raila odinga will be doing the same Goodwill https://t.co/ZURqwIjndA
,"Orengo SC and Otiende SC are going to defend something they know deep down is unconstitutional. 

Raila Odinga's cows this ones."
"Nairobi, Kenya","You don't want to support @WilliamsRuto ati you want BBI, Now Raila Odinga's sister has been appointed member of KE… https://t.co/bYVzhRFSfW"
"Nairobi, Kenya",@UDAKenya you say goodbye to Raila Odinga Politics.We are restoring the ministry of Justice. Devolution Ministry ha… https://t.co/XCvqFutsOp
"Nairobi, Kenya",@RailaOdinga @HassanAliJoho H. E Raila Odinga could also be saying here that the statement is from Governor Joho an… https://t.co/aL3Th9gY5p
Mombasa ✈ Meru ,The success of Speker Justin Muturi will depend on the political side he aligns with after the coronation. No one i… https://t.co/0luVT8bMJd
"Nairobi, Kenya",The Luhya nation will always vote for Raila Odinga. Musalia Mudavadi is too small for Mulembe nation. I wonder why… https://t.co/i5Qyi56vLC
🇰🇪,The ship began operations in June 2019 after Uhuru and former Prime Minister Raila Odinga visited the Kisumu Port… https://t.co/1faoOf6Rt4
Bungoma,"I hope you get me right. 
I love Raila Odinga a person to the Deepest of my heart. 
But I HATE raila Odinga a Polit… https://t.co/ExwxgB85LT"
kisumu,@edwinsifuna @TheODMparty PL Raila Odinga has endorsed Joho's presser by posting it on his TL.
"Nairobi, Kenya",H. E Raila Odinga has just endorsed Mombasa Governor Hassan Ali Joho statement. There are no divisions in ODM. Now… https://t.co/HWWzLSKOLH
Bungoma,"Do Not get surprised when you hear David murathe, Maina kamanda or even Ann waiguru being Coronated by these Kikuyu… https://t.co/jTsbt0jX4P"
"Mombasa, Kenya",@BenjiNdolo @michaelkamene @Jane_FKyalo @BenjiNdolo hii yako ni attention seeking tu!...you have some sought of juv… https://t.co/gcBUd3ftFN
"Nairobi, Kenya",The ship began operations in June 2019 after Uhuru and former Prime Minister Raila Odinga visited the Kisumu Port t… https://t.co/Q273DYgsrx
,"@gabrieloguda 🙏🙏hapa Ujaluoni tuko blessed sana..kila mtu na kazi yake and we respect that 💪
 Raila Odinga is our P… https://t.co/7f5x0O8amt"
Kenya,ODM Leader Raila Odinga mourns former rugby sevens couch Benjamin Ayimba https://t.co/oihBbduojx
,I am not surprised to see Joho sponsored hashtag #BoycottSafariLink. Joho is a close ally of Raila Odinga who told… https://t.co/mhZVFOYqqf
Nairobi,"@citizentvkenya DR. WENWA-AKINYI ODINGA has qualifications. The most educated member of the family✍✍✍✍
Designation:… https://t.co/oOb9dbiEu5"
,"@kipmurkomen Raila Odinga now is old is not think faster, BBI is gone nothing like bbi again Raila Odinga pole Sana"
,She presides the swearing in of the president and not Raila Odinga which is normally administered by the chief regi… https://t.co/auZOQeY2Mx
kenya,Address her properly before referring to her relationship with Raila. Dr Wenwa Odinga https://t.co/4kLEmEE1el
"Nairobi, Kenya",The ODM party has seemingly slammed Mombasa Governor Hassan Ali Joho over his statement on recently concluded by-el… https://t.co/OPGBGammT2
,@HonKangata You don't know my dear Hon Kangata if you join hands with Raila Odinga you can not win that's why Jubil… https://t.co/X89tzY4AUf
"Nakuru, Kenya","DR. WENWA-AKINYI ODINGA has qualifications. The most educated member of the family✍✍✍✍
Designation: SENIOR LECTURER… https://t.co/xkkJHiy40d"
"Nairobi, Kenya",ODM party leader Raila Odinga mourns - https://t.co/Tvsy263D7h
"Nairobi, Kenya",Whatever is happening at Nyagathanga will die on arrival. Mount Kenya will have a strong candidate in 2022 and basi… https://t.co/f0qBFHmEdG
"Nairobi, Kenya",.. Hi @BenjiNdolo good afternoon. Why do you get so irritated when someone mentions Raila Odinga positively? Kwani… https://t.co/ySaaKvfZCg
kenya,FALSE: This photo does not show Kenya’s deputy president and politician Raila Odinga in a midnight meeting… https://t.co/ACLj6hnN1T
"Obanga, Kijebi",I thought Raila Odinga was coronated by the Kikuyu. Wasn't he taken to Nyagathanga?
,"@OmbatiJnr @HassanAliJoho was so full of arrogance and told @TheODMparty machinery to keep off, he even boasted he… https://t.co/R0ooBUiH7R"
,@citizentvkenya You mean no member of Odinga family should be appointed because Raila is ODM leader ama shida ya wa… https://t.co/b8jKpGfVDW
,@gpdkaluma LOL... Expired product bwana. Best before date was in the year of our Lord 2013. Zoea Raila Amolo Odinga… https://t.co/g9NvMBonGk
"Nairobi, Kenya",ODM party leader Raila Odinga mourns https://t.co/ByJ6GBRhIr
,"THE LEGAL BATTLE:

President Kenyatta, handshake partner Raila Odinga, the Attorney general Paul Kihara and IEBC ha… https://t.co/NC4qI7MlHa"
"Nairobi, Kenya","ODM leader Raila Odinga has led Kenyans in mourning rugby legend Benjamin Ayimba. 

https://t.co/2QQnsHTXyR"
"Nairobi, Kenya","Benjamin Ayimba passed away at Kenyatta hospital where he was undergoing treatment for cerebral malaria. 

https://t.co/GkNmEABC74"
"Nairobi, Kenya","We have lost a great patriot in Benjamin Ayimba. Prior to taking up coaching, he had an illustrious career as a Rug… https://t.co/aiRaT9OB8w"
"Nairobi, Kenya",Chief Justice Martha Koome will swear -in Raila Odinga as the fifth president of the Republic of Kenya. Period. https://t.co/zVvkQ7zgdJ
Nairobi,Raila Odinga decided to live as a villain 👎
Mombasa,@citizentvkenya Must you guys headline it as Raila odinga's sister. Her name is just enough.
,"There should be no more wastage of time. Uhuru should just use State Power to pass BBI, endorse Raila Odinga for Pr… https://t.co/0B2LbRxb7X"
Land Of Cush,@ochegoken @ayodo_change He is also dishing out appointments to Raila Amollo Odinga's family in case you found it i… https://t.co/hPMHEQ5woZ
"Nairobi, Kenya",Hon. Raila Odinga was doing everything right until he decided the Handcheque was better than the sacrifices made by… https://t.co/fnljcDChbm
,I doubt there ever shall be an opposition leader like Raila Odinga who used his position as opposition leader to he… https://t.co/ctN26K0VwO
Nairobi,Former PM Raila Odinga: We have lost a great patriot in Benjamin Ayimba. Prior to taking up coaching he had an illu… https://t.co/TBQFbV46fb
"Eldoret,Kenya",@GeraldNgaoPk7 Here’s a paragraph of his political vita. He almost beat Raila Odinga during the 2007 ODM presidenti… https://t.co/1Wi0q2dCH3
"Nairobi, Kenya",Interesting observations about Raila Odinga through the eyes of the late Kijana Wamalwa. https://t.co/Sb9NbXO4HH
"Nairobi, Kenya","PHOTO of RAILA ODINGA’s wife, MAMA IDA, when she was young – This is True beauty. | E! NEWS Blog… https://t.co/mlPjJnVJPE"
 NAIROBI,"#RipBenjamiAyimba
Former rugby coach is dead. Pres Uhuru Kenyatta and Raila Odinga once lead Kenya in fund drive fo… https://t.co/zbpCejnP9q"
Nairobi,"Raila Odinga’s sister Amb Wenwa appointed KEMRI Board member

Dig it here: https://t.co/EPTbWgZmFM

#UpbeatNews #WenwaOdinga #NairobiUpbeat"
Kenya,"Raila’s sister Wenwa Appointed KEMRI Board member.
Wenwa Akinyi Odinga Oranga has been appointed as a member of the… https://t.co/BDZ2rRwl9F"
nyando ,@OAmollo raila odinga will punish you for assisting the poor.
,@Belive_Kinuthia @RailaOdinga I can't wait for that day.. President Raila Amolo Odinga..
Republic of Kenya,@Wakabando He will swear in Raila Odinga
TURKANA COUNTY ,Raila Odinga @RailaOdinga duped all of us https://t.co/otoStZSrOw
"Nairobi, Kenya",A gazette notice dated May 21 said Raila's sister Wenwa Odinga Oranga will serve in the position for a period of th… https://t.co/odFP4SJkkr
Kenya,Muranga gov Mwangi wa Iria warns Justin Muturi will be cursed with severe consequences if he becomes the GEMA spoke… https://t.co/2gmUtNPzk9
Nairobi,Thank you God for making Raila Odinga the 5th President of Kenya and thank you too for making Ruto the opposition l… https://t.co/AuqeVotL64
"Nairobi, Kenya",I wanted BBI to be passed but when James Orengo and Otiende Amollo raised an issue of how bad Constituencies was di… https://t.co/GjQ7LTGgFF
Anywhere  Anytime,Whoever lied JUSTIN MUTURI that VOTES are found inside shrines must be a Witcher . Muturi should ask Raila Odinga h… https://t.co/wp4cTfITG6
"Nairobi, Kenya","Hi guys...we sell and import cars...
Our showroom is in Parklands, Nairobi

#KDFMissionReady
#ODMTameSifuna
raila o… https://t.co/Wg0ckbA4xm"
"Nairobi, Kenya","2014 Premium Spec Harrier 
Orengo still available 
#KDFMissionReady
#ODMTameSifuna
raila odinga
Martha Koome
Willia… https://t.co/FEHEjBUDnB"
,"He killed his brother. Amezikwa ka mbwa. Kiambu county
join for full length video on telegram… https://t.co/LJRGkhkhvr"
ooliskia wapi,"Take your business global with Robisearch limited.

Group F Orengo Raila Odinga #onpoli Jayden #KDFMissionReady Son… https://t.co/GSyQCMDxRC"
,Get the best BULKSMS today using @RobisearchLtd bulks SMS and make your work easier for more information you can wh… https://t.co/pydSFRmENf
"Nairobi, Kenya","Happy clients rocking their tooth gems✨🔥
Dm or call +254720049928 to book your tooth gem placement session today!!… https://t.co/YlFgfF6v47"
,"For All your #cleaning needs, We got you. Call us on 0796871239 to schedule your service. https://t.co/w5vEFUcx0k… https://t.co/hbsx9WirEk"
Nairobi,"2013-17 Vs 2018-21

Toxic  Vs Healthy Relationship.

Thank you Raila Odinga .

Kenyans are happy!
See what inner pe… https://t.co/KVwgradCHy"
